abandon,버리다; 포기하다
distinctive,특징적인; 독특한
distinguish,구별하다
distort,왜곡하다
distract,정신을 산만하게 하다
distraction,산만함; 주의 산만 요소
distress,괴로움; 고통
distribute,분배하다; 배포하다
distribution,분배; 유통
district,구역; 지역
disturb,방해하다
ditch,도랑; 버리다; 포기하다
dive,잠수하다; 뛰어들다
diverse,다양한
diversity,다양성
divert,전환하다; 딴 데로 돌리다
divine,신성한; 멋진
division,분할; 부서; 나눗셈
dizzy,어지러운
dock,부두; 접안하다
doctrine,교리; 원칙
documentary,다큐멘터리; 문서의
domain,영역; 도메인
donate,기부하다
donor,기부자; 공여자
doom,운명짓다; 파멸
dormitory,기숙사
dose,복용량; 투약하다
dot,점; 찍다
dough,반죽
dove,비둘기
downward,아래쪽으로
downstairs,아래층에
downtown,도심; 시내
dozen,12개; 다스
draft,초안; 징집하다
drag,끌다; 끌고 가다
drain,배수하다; 물을 빼다
drama,연극; 드라마
dramatic,극적인; 인상적인
drastic,급격한; 과감한
drawback,단점; 문제점
drawer,서랍
dread,두려워하다; 공포
drench,흠뻑 적시다
drift,표류하다; 떠돌다
drill,드릴; 구멍을 뚫다; 훈련하다
drip,뚝뚝 떨어지다
drought,가뭄
drown,익사하다; 물에 빠지다
drowsy,졸리는
drum,북; 드럼; 북을 치다
drunk,술 취한
dryness,건조함
dual,이중의; 두 가지의
dub,별명을 붙이다; 더빙하다
duct,관; 덕트
dull,지루한; 무딘
dump,버리다; 폐기물 처리장
duplicate,복사하다; 이중의
durable,내구성 있는
duration,지속 기간
dusk,황혼; 땅거미
dusty,먼지가 많은
duty,의무; 임무
dwell,살다; 거주하다
dweller,거주자
dwelling,주택; 거주지
dynamic,역동적인; 활기찬
dysfunction,기능 장애
eager,열렬한; 간절히 원하는
eagle,독수리
earl,백작(귀족 칭호)
earnest,진지한; 성실한
earthquake,지진
ease,쉬움; 완화하다
easily,쉽게; 수월하게
echo,메아리; 울리다
ecology,생태학
ecosystem,생태계
edge,모서리; 우위
edible,먹을 수 있는
editorial,사설; 편집의
educator,교육자
effectiveness,효과성
efficient,효율적인
ego,자아; 자존심
elaborate,정교한; 공들이다
elastic,탄력 있는; 고무줄
elbow,팔꿈치
elderly,노년의; 어르신들
electrical,전기의
electronics,전자공학; 전자기기
elegant,우아한; 멋진
elementary,기초의; 초등의
elevate,올리다; 향상시키다
eligible,자격이 있는
eliminate,제거하다; 없애다
elite,엘리트; 우수한
embark,승선하다; 시작하다
embarrass,당황하게 하다
embassy,대사관
embed,삽입하다; 박아 넣다
embrace,포옹하다; 받아들이다
emerge,드러나다; 나타나다
emergency,비상사태
emit,방출하다; 내뿜다
emotion,감정
emotional,감정적인
empathize,공감하다
emperor,황제
emphasis,강조
emphasize,강조하다
empire,제국
empirical,경험적인; 실증적인
employ,고용하다; 사용하다
employee,직원; 근로자
employer,고용주
empower,권한을 부여하다
enable,가능하게 하다
enact,제정하다; 공연하다
enchant,매혹하다
enclose,동봉하다; 둘러싸다
encode,암호화하다
encounter,마주치다; 만남
encourage,격려하다
endanger,위험에 빠뜨리다
endeavor (endeavour),노력하다; 시도
endorse,지지하다; 승인하다
endure,견디다; 지속하다
energetic,활기 넘치는
enforce,집행하다; 강요하다
engage,관여하다; 약속하다; 사로잡다
engagement,약혼; 참여
engineer,기술자; 공학자
enhance,강화하다; 향상시키다
enlighten,깨우치다; 계몽하다
enlist,입대하다; 도움을 얻다
enrich,풍부하게 하다
enroll (enrol),등록하다; 입학시키다
enslave,노예로 만들다
ensure,보장하다; 확실하게 하다
entail,수반하다
enterprise,기업; 사업
entertain,즐겁게 하다; 접대하다
enthusiasm,열정
enthusiastic,열광적인
entire,전체의; 온전한
entitle,자격을 주다; 제목을 붙이다
entity,실체; 개체
entrepreneur,기업가; 창업가
enumerate,열거하다
envelope,봉투
environmental,환경의
envision,상상하다; 예측하다
enzyme,효소
epic,서사시; 웅장한
epidemic,전염병; 유행병
episode,삽화; 에피소드
epoch,시대; 획기적 시대
equal,동등한; 평등한
equality,평등
equation,방정식; 동일시
equip,장비를 갖추다
equipment,장비
equivalent,동등한; 상당하는 것
era,시대
eradicate,근절하다; 제거하다
erase,지우다; 삭제하다
erect,세우다; 직립한
erosion,침식; 부식
errand,심부름
escalate,확대되다; 고조되다
escape,탈출하다; 피하다
escort,호위하다; 동반자
essence,본질; 정수
essential,필수적인
establish,설립하다; 확립하다
estate,부동산; 재산
estimate,추정하다; 견적
eternal,영원한
ethic,윤리; 도덕
ethical,윤리적인
ethnic,민족의; 인종의
evacuate,대피시키다
evade,피하다; 회피하다
evaluate,평가하다
evaluation,평가
evaporate,증발하다
eve,전날; 전야
even,심지어; 평평한; 짝수의
evenly,균등하게; 고르게
eventually,결국
everlasting,영원한
evident,분명한
evolution,진화; 발전
evolve,진화하다; 발달하다
exaggerate,과장하다
exam,시험
exceed,초과하다; 능가하다
excel,뛰어나다
excellent,훌륭한
excerpt,발췌; 인용
exchange,교환하다; 거래
excite,흥분시키다; 자극하다
exclude,제외하다
exclusion,제외; 배제
exclusive,독점적인; 배타적인
excursion,소풍; 여행
excuse,변명; 용서하다
execute,실행하다; 처형하다
execution,실행; 처형
executive,임원; 간부; 실행의
exercise,운동; 연습
exert,행사하다; 발휘하다
exhaust,지치게 하다; 배기
exhibit,전시하다; 드러내다
exile,추방; 망명
exit,출구; 나가다
exotic,이국적인
expand,확장하다
expansion,확대; 확장
expel,추방하다; 몰아내다
expenditure,지출
expertise,전문지식
expire,만료되다; 숨을 거두다
explicit,명백한; 분명한
explode,폭발하다
exploit,착취하다; 활용하다; 위업
explore,탐험하다; 탐구하다
explosion,폭발
export,수출하다
expose,드러내다; 노출시키다
exposure,노출; 폭로
express,표현하다; 급행
expression,표현; 표정
extend,확장하다; 연장하다
extension,연장; 확장
extensive,광범위한
extent,범위; 정도
exterior,외부의; 외관
external,외부의
extinct,멸종한
extinguish,끄다; 진화하다
extra,추가의; 별도의
extract,추출하다; 발췌하다
extraordinary,비범한; 이상한
extreme,극단의; 심한
eyebrow,눈썹
eyelid,눈꺼풀
fabric,직물; 구조
fabulous,멋진; 놀라운
facilitate,촉진하다; 용이하게 하다
facility,시설; 편의
faction,파벌; 분파
factor,요인; 요소
factory,공장
faculty,교수진; 능력
fade,희미해지다; 바래다
failed,실패한
fairy,요정
faithful,충실한; 신뢰할 수 있는
fake,가짜의; 위조품
fame,명성
famine,기근
familiarize,익숙하게 하다
famine,기근
famous,유명한
fanatic,열광적인 사람; 광신적인
fancy,화려한; 장식적인; 좋아하다
fantasy,환상; 공상
farmland,농지
fascinate,매료시키다
fatal,치명적인; 중대한
fateful,중대한; 운명적인
fatigue,피로; 피곤
faulty,결함 있는
favorable,우호적인; 호의적인
feasible,실행 가능한; 그럴듯한
feast,축제; 연회
feather,깃털
feature,특징; 기능; 출연하다
federal,연방의
federation,연합; 연맹
feeble,약한; 허약한
feedback,피드백; 반응
feeling,감정; 느낌
fellowship,동료애; 단체
feminine,여성의; 여성스러운
fence,울타리; 담장
fertile,비옥한; 풍부한
fertilizer,비료
festival,축제
feud,반목; 불화
fever,열; 열기
fiction,소설; 허구
fiddle,바이올린을 켜다; 만지작거리다
fierce,사나운; 격렬한
figure,숫자; 인물; 형태; 이해하다
filament,가는 실; 전구의 필라멘트
finance,재정; 자금 조달
financial,재정의; 금융의
findings,결과; 발견된 사실
fine,좋은; 벌금
fingertip,손끝
firm,단단한; 회사
firmly,단단하게; 견고하게
fitness,건강; 체력
flame,불꽃; 열망
flammable,인화성의
flare,빛나다; 번쩍이다
flash,번쩍임; 섬광; 플래시
flat,평평한; 아파트
flatter,아첨하다; 돋보이게 하다
flaw,결점; 흠
flee,도망치다; 달아나다
fleet,함대; 빠른
flesh,살; 과육
flexible,유연한; 융통성 있는
flicker,깜빡이다; 흔들리다
fling,내던지다; 던지기
flip,뒤집다; 휙 넘기다
float,뜨다; 떠오르다
flock,떼; 모이다
flood,홍수; 범람하다
floor,바닥; 층
flourish,번창하다; 번영하다
fluctuate,변동하다
fluid,액체; 유동체
flute,플루트; 피리
flutter,팔랑거리다; 떨다
foam,거품; 거품이 일다
focus,초점을 맞추다; 집중하다
foe,적; 적대자
foil,은박지; 좌절시키다
fold,접다; 배 이상 되는 부분
folk,사람들; 민속의
follow-up,후속 조치; 추적
fond,좋아하는; 다정한
foolish,어리석은
forbid,금지하다
forecast,예보하다; 예측
forehead,이마
foreign,외국의
foreigner,외국인
foresee,예견하다
forest,숲
forever,영원히
forge,위조하다; 단조하다; 만들다
format,형식; 서식
formation,형성; 구조
former,이전의; 전자
formula,공식; 조제법
formulate,공식화하다; 표현하다
fort,요새; 성채
forth,앞으로; 밖으로
fortunate,운이 좋은
fortune,재산; 운
forum,토론회; 포럼
fossil,화석
foster,양육하다; 촉진하다
foundation,토대; 재단; 기초
founder,창립자; 설립자
fraction,부분; 분수
fragile,부서지기 쉬운
fragment,파편; 조각
fragrant,향기로운
framework,틀; 체계
franchise,프랜차이즈; 독점권
frank,솔직한; 숨김없는
fraud,사기; 속임수
freak,기이한 일; 괴짜
freight,화물; 운송
French,프랑스의; 프랑스인
frequency,빈도; 주파수
frequent,빈번한
freshman,신입생
friction,마찰
fright,공포; 경악
frustrate,좌절시키다
fry,튀기다; 굽다
fulfill (fulfil),이행하다; 실현하다
full-time,전일제의
functional,기능적인
fundamental,근본적인; 기본적인
funeral,장례식
furious,격노한; 맹렬한
furnace,용광로; 난로
furnish,제공하다; 갖추다
furniture,가구
furthermore,게다가
fuse,융합하다; 퓨즈
fusion,융합; 결합
futile,헛된; 소용없는
gain,얻다; 증가; 이익
galaxy,은하; 은하계
gallery,미술관; 갤러리
gamble,도박하다; 위험을 무릅쓰다
gang,갱단; 무리
gap,틈; 격차
garbage,쓰레기
garden,정원
gardener,정원사
garlic,마늘
garment,의복; 옷
gasoline,가솔린; 휘발유
gathering,모임; 수집
gauge,측정하다; 게이지
gaze,응시하다
gear,기어; 장비
gem,보석
gender,성별
gene,유전자
generalize,일반화하다
generate,생성하다; 만들어내다
generation,세대; 발생
generous,관대한; 후한
genetic,유전의; 유전적인
genius,천재; 비범한 재능
genre,장르; 유형
gentle,온화한; 부드러운
genuine,진짜의; 진실한
geographic,지리의
geology,지질학
geometry,기하학
germ,세균; 미생물
gesture,몸짓; 제스처
giant,거인; 매우 큰
gigantic,거대한; 엄청난
ginger,생강
glacier,빙하
glance,흘끗 보다
glare,노려보다; 눈부신 빛
glide,미끄러지듯 나아가다
glimpse,흘끗 봄; 일견
glitter,반짝이다; 빛나다
global,세계적인; 지구의
globalization,세계화
globe,지구본; 구
gloom,우울; 침울
glorious,영광스러운; 화려한
glow,빛나다; 발광하다
glue,풀; 접착하다
goalkeeper,골키퍼
gorgeous,아주 멋진; 화려한
gorilla,고릴라
govern,통치하다; 지배하다
governor,주지사; 통치자
grace,우아함; 품위
gracious,친절한; 우아한
grade,등급; 학년; 성적
gradual,점진적인
graduate,졸업하다; 대학원생(graduate student)
grain,곡물; 알갱이
grammar,문법
grammatical,문법적인
grand,웅장한; 위대한
grant,허가하다; 보조금
grape,포도
graphic,그림의; 그래픽
graphics,그래픽스; 도형 처리
grasp,붙잡다; 이해하다
grateful,감사하는
gratitude,감사; 고마움
grave,무덤; 심각한
gravity,중력; 엄숙함
graze,풀을 뜯다; 스치다
grease,기름; 윤활유
greatly,크게; 매우
greed,탐욕
greedy,탐욕스러운
greenhouse,온실
greet,인사하다
grief,슬픔; 비탄
grin,씨익 웃다
grind,갈다; 연마하다
grip,잡다; 꽉 쥐다
grit,모래; 용기
groan,신음하다; 불평하다
grocer,식료품점 주인
groom,신랑; 단장하다
gross,총계의; 역겨운
guarantee,보증하다; 보증
guardian,보호자
guerrilla,게릴라
guidance,지도; 안내
guideline,지침; 가이드라인
guilt,죄책감; 유죄
guilty,죄책감 있는; 유죄의
gulf,만; 간극
gum,잇몸; 껌
gunpowder,화약
guts,용기; 배짱
gymnastics,체조
habitual,습관적인
habitat,서식지
hail,우박; 환호하다
hairdresser,미용사
hallmark,특징; 품질 보증 마크
halt,멈추다; 중단
hamper,방해하다; 빨래바구니
handbook,안내서; 매뉴얼
handicap,장애; 불리한 조건
handicraft,수공예
handout,유인물; 나눠주는 것
handy,편리한; 가까이에 있는
happen,발생하다
harass,괴롭히다
harbor (harbour),항구; 피난처
hardware,하드웨어; 장비
hardly,거의 ~아니다
hardship,고난; 역경
harmful,해로운
harmony,조화; 화음
harness,마구; 이용하다
harsh,가혹한; 거친
harvest,수확하다; 수확물
haste,서두름
hasten,서두르다
hatch,부화하다; 해치다
haul,끌다; 운반하다
haunt,출몰하다; 괴롭히다
hazard,위험; 유해 요소
hazardous,위험한; 유해한
headline,헤드라인; 주요 뉴스 제목
hearing,청력; 청문회
heartfelt,진심 어린
hearty,푸짐한; 따뜻한
heating,난방
hectic,정신없이 바쁜
hedge,울타리; 방지책
heed,주의하다; 주의
heighten,높이다; 강화하다
heir,상속인; 후계자
helicopter,헬리콥터
helmet,헬멧
hemisphere,반구; 영역
heritage,유산; 전통
heroic,영웅적인; 용감한
hesitate,망설이다
hidden,숨겨진
highlight,강조하다; 하이라이트
hilarious,아주 웃기는
hinder,방해하다
hinge,경첩; ~에 달려 있다
hint,힌트; 암시하다
hip,엉덩이; 고관절
hire,고용하다; 빌리다
hiss,쉬익 소리; 쉬익거리다
historian,역사학자
historic,역사적인
historical,역사와 관련된
hobby,취미
hoe,괭이; 괭이로 파다
holly,호랑가시나무
homeland,조국; 고향
homeless,집 없는; 노숙자
homesick,향수병의
homogeneous,동질의; 균질의
honesty,정직; 성실
honorary,명예의
hook,갈고리; 걸다
hop,깡충 뛰다; 희망하다
hopeful,희망에 찬
horizon,지평선; 시야
horizontal,수평의
horn,뿔; 경적
horrify,무섭게 하다; 놀라게 하다
hose,호스; 물을 뿌리다
hospitality,환대; 접대
hostage,인질
hostile,적대적인
hover,맨돌다; 떠다니다
hug,포옹하다; 포옹
humble,겸손한; 비천한
humid,습한
humidity,습도
humiliate,굴욕감을 주다
hunch,예감; 직감
hunger,굶주림; 배고픔
hurdle,장애물; 허들
hurl,던지다; 내던지다
hurricane,허리케인
hurry,서두르다
husband,남편
hygiene,위생
hypothesis,가설
luxurious,호화로운; 사치스러운
lyrics,가사
machine,기계
machinery,기계류; 장비
madam,부인; 아줌마
magazine,잡지
magic,마법; 신비로운
magician,마술사
magnet,자석
magnetic,자석의; 자성을 띤
magnificent,웅장한; 멋진
magnitude,규모; 중요성
maid,하녀; 소녀
